,dsf,bldg_id,name,start_date,planned_end_date,capacity,est_completion,lat,lng,bbl
0,DSF0000798178,X097,P.S. 97 - BRONX,2017-07-31,2018-02-12,548,2021-04-01,40.862839,-73.84679100000001,2044740001.0
1,DSF0000730952,M342,THE RIVERSIDE SCHOOL - M,2016-06-17,2017-09-01,692,2017-09-01,40.772463,-73.98984399999999,1011717510.0
2,DSF0000798185,K032,P.S. 32 - BROOKLYN,2017-07-12,2021-07-10,436,2020-07-01,40.680445,-73.991949,3004370001.0
3,DSF0000798182,K557,P.S. @ 4302 4TH AVE - BROOKLYN,2017-11-17,2018-06-12,332,2022-06-01,40.650304999999996,-74.008602,3007280036.0
4,DSF0000798233,X014,P.S. 14 - BRONX,2016-07-07,2019-10-09,344,2018-09-01,40.835778999999995,-73.825735,2053130092.0
5,DSF0000798175,X046,P.S. 46 - BRONX,2017-01-03,2020-06-25,500,2019-06-01,40.866827,-73.890725,2032950001.0
6,DSF0000798235,M323,I.S. 323 - MANHATTAN,2015-03-09,2017-06-15,1016,2018-05-01,40.730999,-74.007191,1006030049.0
7,DSF0000798210,Q398,P.S. 398 - QUEENS,2017-03-06,2019-06-03,476,2019-06-01,40.752493,-73.896922,4012420032.0
8,DSF0000798199,Q125,I.S. 125 - QUEENS,2015-12-23,2018-07-22,728,2017-09-01,40.741131,-73.918945,4022840006.0
9,DSF0000798195,Q143,P.S. 143 - QUEENS,2017-07-18,2021-03-17,980,2020-09-01,40.755451,-73.855192,4017560025.0
10,DSF0000821576,Q247,P.S. 128 - QUEENS,2017-07-17,2019-11-03,440,2020-06-01,40.715344,-73.886215,4030270037.0
11,DSF0000798203,Q024,P.S. 24 - QUEENS,2016-07-26,2019-09-18,600,2018-09-01,40.751459999999994,-73.817849,4052010021.0
12,DSF0000798186,K746,P.S. 746 - BROOKLYN,2017-06-22,2020-03-07,976,2020-03-01,40.643337,-74.021011,3008610029.0
13,DSF0000798192,K101,P.S. 101 - BROOKLYN,2016-12-05,2020-08-15,456,2019-06-01,40.597863000000004,-73.99169300000001,3068750032.0
14,DSF0000821799,Q434,FRANCIS LEWIS HS ANNEX - QUEEN,2017-09-15,2018-04-11,555,2021-07-01,40.740724,-73.79283000000001,4068820001.0
15,DSF0000801039,Q066,P.S. 66 - QUEENS,2017-06-21,2020-08-20,124,2019-09-01,40.697835999999995,-73.846558,4091830001.0
16,DSF0000798194,K254,P.S. 254 - BROOKLYN,2017-08-29,2018-01-30,416,2021-06-01,40.590423,-73.951753,3074200026.0
17,DSF0000798208,Q003,P.S. 303 - QUEENS,2017-02-15,2020-08-02,484,2019-09-01,40.725097999999996,-73.845091,4022180021.0
18,DSF0000798209,Q144,P.S. 144 - QUEENS,2017-07-13,2020-07-01,590,2019-09-01,40.714978,-73.853372,4032120001.0
19,DSF0000798568,Q019,P.S. 19 - QUEENS,2016-07-18,2019-06-17,640,2018-09-01,40.749381,-73.867354,4016070001.0
20,DSF0000798200,Q049,P.S. 49 - QUEENS,2015-12-22,2017-12-18,333,2017-09-01,40.719867,-73.875093,4029900045.0
